Characteristic,Value
Age M (SD),13.33 (1.58)
Gender Male % (n),72.5 (619)
Gender Female % (n),27.5 (235)
Race/Ethnicity White Non-Hispanic % (n),7.5 (64)
Race/Ethnicity African-American % (n),13.5 (115)
Race/Ethnicity Hispanic Any Race % (n),77.2 (659)
Race/Ethnicity Other % (n),1.8 (16)
Number of Siblings M (SD),1.80 (1.39)
Primary Caregiver Mother % (n),89.2 (762)
Primary Caregiver Father % (n),8.2 (70)
Primary Caregiver Other % (n),2.6 (22)
Parent Education Level High School or less % (n),21.2 (181)
Parent Education Level Some college or Associate’s % (n),29.9 (255)
Parent Education Level Bachelor’s degree % (n),31.1 (266)
Parent Education Level Master’s degree or higher % (n),17.4 (149)
Parent Education Level Undisclosed % (n),0.7 (6)
Single Parent % (n),39.2 (334)
Parent Primary Language English % (n),74.4 (635)
Parent Primary Language Spanish % (n),25.6 (219)
